teaching_point,question_type,language,bloom_level,request_language,request_question_type,request_bloom_level,number_of_distractors,number_of_correct_answers,teaching_point_en,teaching_point_ar,question_number,question_text,model_answer,num_options,correct_answers,num_correct_answers,option_A,option_B,option_C,option_D,option_E,option_F,options_formatted,error_status,error_message
Show positive team relationships,TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,Show positive team relationships,يبين علاقات الفريق الإيجابية,2,Does the AFADI emphasize the importance of positive team relationships as part of its core values and operational doctrines?,"Yes, AFADI places a strong emphasis on positive team relationships as part of its core values, recognizing that unity and collaboration enhance combat readiness and effectiveness.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
Show positive team relationships,TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,Show positive team relationships,يبين علاقات الفريق الإيجابية,3,"In AFADI, is it considered unnecessary to build positive relationships among team members to achieve operational objectives?","False. Building positive relationships among team members is crucial for achieving operational objectives in AFADI, as it fosters mutual support and enhances mission performance.",2.0,B,1.0,True,False,,,,,A) True | B) False,,
يطبق الثقة بالنفس,TRUE_FALSE_JUSTIFICATION,arabic,REMEMBER,ar,TRUE_FALSE_JUSTIFICATION,REMEMBER,2.0,0.0,Apply Self Confidence,يطبق الثقة بالنفس,1,في سياق دفاع الطيران، يُعتبر التمكين بالثقة بالنفس عنصرًا أساسيًا في اتخاذ القرارات السريعة أثناء العمليات الجوية.,"يُعتبر الثقة بالنفس عنصرًا أساسيًا في اتخاذ القرارات السريعة، حيث يساعد الطيارين والقادة على أداء مهامهم بكفاءة عالية في الظروف الطارئة، وهو ما يندرج تحت مفهوم ""تطبيقات الثقة بالنفس"" في منظومة AFADI.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
يطبق الثقة بالنفس,TRUE_FALSE_JUSTIFICATION,arabic,REMEMBER,ar,TRUE_FALSE_JUSTIFICATION,REMEMBER,2.0,0.0,Apply Self Confidence,يطبق الثقة بالنفس,2,يتم تطبيق الثقة بالنفس فقط في العمليات الدفاعية البرية، ولا علاقة له بالدفاع الجوي.,لا يقتصر تطبيق الثقة بالنفس على العمليات البرية فقط، بل يشمل أيضًا العمليات الجوية والدفاع الجوي، وهو عنصر حيوي في جميع جوانب الدفاع الجوي التي تُمارسها منظومة AFADI.,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يطبق الثقة بالنفس,TRUE_FALSE_JUSTIFICATION,arabic,REMEMBER,ar,TRUE_FALSE_JUSTIFICATION,REMEMBER,2.0,0.0,Apply Self Confidence,يطبق الثقة بالنفس,3,يُمكن للضابط أن يعمل بدون ثقة بالنفس، وذلك في حالات معينة من العمليات.,لا يمكن للضابط أن يعمل بدون ثقة بالنفس، لأنها مهارة أساسية تتطلبها جميع المهام العسكرية، وخاصة في سياقات الدفاع الجوي حيث تتطلب المواقف السريعة الارتباك والثقة باتخاذ القرار الصحيح.,2.0,B,1.0,True,False,,,,,A) True | B) False,,
Apply effective use of presentation aids,MULTI_SELECT,english,REMEMBER,en,MULTI_SELECT,REMEMBER,5.0,1.0,Apply effective use of presentation aids,يطبق مهارات الاستخدام الفعال لمساعدات تقديم العروض,1,Which of the following is the primary purpose of using presentation aids in an Air Force Defense and Institute (AFADI) training environment?,,6.0,B,1.0,To distract the audience,To enhance clarity and reinforce key messages,To replace verbal communication,To reduce the amount of time needed for training,To avoid the need for notes,To make the presentation more visually appealing,A) To distract the audience | B) To enhance clarity and reinforce key messages | C) To replace verbal communication | D) To reduce the amount of time needed for training | E) To avoid the need for notes | F) To make the presentation more visually appealing,,
Apply effective use of presentation aids,MULTI_SELECT,english,REMEMBER,en,MULTI_SELECT,REMEMBER,5.0,1.0,Apply effective use of presentation aids,يطبق مهارات الاستخدام الفعال لمساعدات تقديم العروض,2,Which of the following is a common example of a presentation aid used in AFADI briefings?,,6.0,B,1.0,A handwritten note,A digital slide deck,A handwritten map,A large poster with no text,A voice recording,A detailed narrative without visuals,A) A handwritten note | B) A digital slide deck | C) A handwritten map | D) A large poster with no text | E) A voice recording | F) A detailed narrative without visuals,,
Apply effective use of presentation aids,MULTI_SELECT,english,REMEMBER,en,MULTI_SELECT,REMEMBER,5.0,1.0,Apply effective use of presentation aids,يطبق مهارات الاستخدام الفعال لمساعدات تقديم العروض,3,"In the context of AFADI, what is a key consideration when using presentation aids during a defense operation briefing?",,6.0,B,1.0,Use as many animations as possible,Ensure the content is relevant and supports the message,Use only text-based slides,Avoid using any visual elements,Prioritize aesthetics over clarity,Use complex diagrams without explanation,A) Use as many animations as possible | B) Ensure the content is relevant and supports the message | C) Use only text-based slides | D) Avoid using any visual elements | E) Prioritize aesthetics over clarity | F) Use complex diagrams without explanation,,
Apply Time Management,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,2.0,0.0,Apply Time Management,يطبق ادارة الوقت,1,Which of the following best evaluates the effectiveness of time management in an air defense scenario where multiple threats are detected simultaneously?,,4.0,C,1.0,Prioritizing threats based on proximity,Allocating time to conduct routine maintenance instead of threat assessment,Allocating resources based on threat severity and time sensitivity,Delaying response to gather more intelligence,,,A) Prioritizing threats based on proximity | B) Allocating time to conduct routine maintenance instead of threat assessment | C) Allocating resources based on threat severity and time sensitivity | D) Delaying response to gather more intelligence,,
Apply Time Management,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,2.0,0.0,Apply Time Management,يطبق ادارة الوقت,2,"In a high-tempo air defense operation, which of the following best reflects an evaluation of time management practices?",,4.0,C,1.0,All team members are assigned the same tasks regardless of expertise,Decision-making is delayed to ensure full information is gathered,Critical tasks are scheduled in advance to avoid last-minute conflicts,"Time is not tracked, as operations are considered routine",,,"A) All team members are assigned the same tasks regardless of expertise | B) Decision-making is delayed to ensure full information is gathered | C) Critical tasks are scheduled in advance to avoid last-minute conflicts | D) Time is not tracked, as operations are considered routine",,
Apply Time Management,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,2.0,0.0,Apply Time Management,يطبق ادارة الوقت,3,"When evaluating time management in an air defense exercise, which of the following most accurately reflects a successful outcome?",,4.0,C,1.0,Missed early warning due to lack of coordination,All threats are engaged in the order they were detected,Response times are minimized while maintaining situational awareness,Resources are over-allocated to less critical areas,,,A) Missed early warning due to lack of coordination | B) All threats are engaged in the order they were detected | C) Response times are minimized while maintaining situational awareness | D) Resources are over-allocated to less critical areas,,
يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),TRUE_FALSE_JUSTIFICATION,arabic,EVALUATE,ar,TRUE_FALSE_JUSTIFICATION,EVALUATE,3.0,0.0,"Apply effective para verbal communication (voice tone, pitch, speed and cadence(",يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),1,في مهمة تجنيدية لتحديد الطائرات غير المرئية، يُعتبر التحكم بنبرة الصوت وسرعة الكلام من العوامل الأساسية في نقل المعلومات بدقة؟,من المهم جداً أن يكون المُتحدث قادراً على التحكم بنبرة الصوت وسرعة الكلام لضمان وضوح الرسائل العسكرية، خاصة في المهام الحساسة التي تتطلب سرعة استجابة ودقة إبلاغ، مما يجعل الجملة صحيحة.,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),TRUE_FALSE_JUSTIFICATION,arabic,EVALUATE,ar,TRUE_FALSE_JUSTIFICATION,EVALUATE,3.0,0.0,"Apply effective para verbal communication (voice tone, pitch, speed and cadence(",يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),2,في سيناريو توجيه دفاع جوي، يُمكن اعتبار تجاوز سرعة الكلام عن المعدل الطبيعي مُحفزاً لزيادة فهم المعلومات من قبل الطواقم؟,زيادة سرعة الكلام قد تؤدي إلى سوء فهم المعلومات، خاصة في البيئات العسكرية التي تحتاج إلى دقة عالية، مما يجعل الجملة خاطئة.,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),TRUE_FALSE_JUSTIFICATION,arabic,EVALUATE,ar,TRUE_FALSE_JUSTIFICATION,EVALUATE,3.0,0.0,"Apply effective para verbal communication (voice tone, pitch, speed and cadence(",يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),3,عند إصدار أوامر دفاعية، يُمكن للاختلاف في إيقاع الحديث أن يُضعف من فعالية التوجيهات؟,الإيقاع المتغير يمكن أن يساعد في توجيه الانتباه وتحسين فهم الرسائل، لكنه في المقابل قد يُضعف من فعالية التوجيهات إذا كان غير منظم، مما يجعل الجملة صحيحة.,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,5.0,0.0,"Apply effective body language (position, proxemic and movements)",يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),1,في سياق الدفاع الجوي، هل يُعتبر تطبيق مهارات لغة الجسد (مثل الاتصال بالعين، التواضع في الحركة) من العوامل الأساسية لتعزيز التواصل الفعال بين قوات الدفاع الجوي؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,5.0,0.0,"Apply effective body language (position, proxemic and movements)",يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),2,في مهمة دفاع جوي، هل يمكن اعتبار التواضع في الحركة والمسافة بين الأفراد من العوامل التي تقلل من خطر التعرض للهجوم؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,5.0,0.0,"Apply effective body language (position, proxemic and movements)",يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),3,هل يُعتبر التفاعل بين الأفراد في القوات الجوية دون الالتزام بمسافات مناسبة من عوامل تقليل الكفاءة؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
Apply effective cognitive organization of the contents,MULTICHOICE,english,APPLY,en,MULTICHOICE,APPLY,3.0,0.0,Apply effective cognitive organization of the contents,يطبق مهارات الترتيب المعرفي الفعال للمحتوى,1,"When organizing air defense operations, which of the following cognitive techniques is most effective for prioritizing threats based on their potential impact on friendly forces?",,4.0,B,1.0,Mind mapping,Chunking information into categories,Visualizing the battlefield,Reciting procedures from memory,,,A) Mind mapping | B) Chunking information into categories | C) Visualizing the battlefield | D) Reciting procedures from memory,,
Apply effective cognitive organization of the contents,MULTICHOICE,english,APPLY,en,MULTICHOICE,APPLY,3.0,0.0,Apply effective cognitive organization of the contents,يطبق مهارات الترتيب المعرفي الفعال للمحتوى,2,"During a joint air defense exercise, a pilot is required to quickly assess the situation and decide on the most efficient engagement sequence. Which cognitive organization strategy would best support this decision-making process?",,4.0,B,1.0,Creating a flowchart of standard operating procedures,Using a decision matrix to weigh threat levels,Memorizing enemy aircraft characteristics,Repeating the mission plan aloud,,,A) Creating a flowchart of standard operating procedures | B) Using a decision matrix to weigh threat levels | C) Memorizing enemy aircraft characteristics | D) Repeating the mission plan aloud,,
Apply effective cognitive organization of the contents,MULTICHOICE,english,APPLY,en,MULTICHOICE,APPLY,3.0,0.0,Apply effective cognitive organization of the contents,يطبق مهارات الترتيب المعرفي الفعال للمحتوى,3,"In a real-time air defense scenario, which of the following methods would best support the rapid recall of critical data such as radar alerts and friendly force locations?",,4.0,B,1.0,Associating data with personal experiences,Using acronyms and mnemonics,Drawing detailed maps,Reviewing past mission reports,,,A) Associating data with personal experiences | B) Using acronyms and mnemonics | C) Drawing detailed maps | D) Reviewing past mission reports,,
Apply constructive answers to audience comments/remarks,TRUE_FALSE,english,CREATE,en,TRUE_FALSE,CREATE,3.0,0.0,Apply constructive answers to audience comments/remarks,يطبق مهارات الاجابة البناءة على أسئلة وتعليقات الحضور,1,"In an air defense exercise, a pilot reports an unusual radar contact. A constructive response would involve acknowledging the concern and requesting further clarification before taking action.",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
Apply constructive answers to audience comments/remarks,TRUE_FALSE,english,CREATE,en,TRUE_FALSE,CREATE,3.0,0.0,Apply constructive answers to audience comments/remarks,يطبق مهارات الاجابة البناءة على أسئلة وتعليقات الحضور,2,"During a live-fire exercise, a technician raises a concern about a potential system malfunction. The correct response is to dismiss the concern and proceed with the exercise.",,2.0,B,1.0,True,False,,,,,A) True | B) False,,
Apply constructive answers to audience comments/remarks,TRUE_FALSE,english,CREATE,en,TRUE_FALSE,CREATE,3.0,0.0,Apply constructive answers to audience comments/remarks,يطبق مهارات الاجابة البناءة على أسئلة وتعليقات الحضور,3,"In a simulated air defense scenario, a junior officer provides feedback on a tactical decision. A constructive answer would involve validating the feedback and incorporating it into the operational plan.",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يقيم المرونة الذاتية,MULTI_SELECT,arabic,REMEMBER,ar,MULTI_SELECT,REMEMBER,5.0,4.0,"Assess own ""resilience""",يقيم المرونة الذاتية,1,ما هي المعاملة التي تُستخدم لقياس المرونة الذاتية في أنظمة الدفاع الجوي؟,,6.0,"B, E, F, H",4.0,معامل القوة,معامل المرونة,معامل الكثافة,معامل التماسك,معامل التمدد الحراري,معامل الشد,A) معامل القوة | B) معامل المرونة | C) معامل الكثافة | D) معامل التماسك | E) معامل التمدد الحراري | F) معامل الشد,,
يقيم المرونة الذاتية,MULTI_SELECT,arabic,REMEMBER,ar,MULTI_SELECT,REMEMBER,5.0,4.0,"Assess own ""resilience""",يقيم المرونة الذاتية,2,أي من العوامل التالية تُعتبر من معايير تقييم المرونة الذاتية في أنظمة الدفاع الجوي؟,,6.0,"B, E, F, H",4.0,قدرة الطائرة على السرعة العالية,قدرة الهياكل على الاعتدال بعد التعرض للقوى,قدرة الطاقم على التفاعل السريع,قدرة الأنظمة على التوجيه الدقيق,قدرة الأنظمة على الاستجابة للإجهاد,قدرة المعدات على التحمل في الظروف القاسية,A) قدرة الطائرة على السرعة العالية | B) قدرة الهياكل على الاعتدال بعد التعرض للقوى | C) قدرة الطاقم على التفاعل السريع | D) قدرة الأنظمة على التوجيه الدقيق | E) قدرة الأنظمة على الاستجابة للإجهاد | F) قدرة المعدات على التحمل في الظروف القاسية,,
يقيم المرونة الذاتية,MULTI_SELECT,arabic,REMEMBER,ar,MULTI_SELECT,REMEMBER,5.0,4.0,"Assess own ""resilience""",يقيم المرونة الذاتية,3,ما هي الإجراءات التي تُعتبر من واجبات تقييم المرونة الذاتية في سيناريوهات الدفاع الجوي؟,,6.0,"A, D, E, H",4.0,تقييم قدرة المعدات على التحمل في الظروف العدائية,مراجعة أداء الطاقم في السحب الجوي,تقييم قدرة الأنظمة على التفاعل مع المخاطر المتعددة,تقييم قدرة الهياكل على البقاء في حالة توازنها,تقييم كفاءة الأنظمة في الاستجابة للطوارئ,تقييم مدى قدرة الطائرات على التحليق لمسافات بعيدة,A) تقييم قدرة المعدات على التحمل في الظروف العدائية | B) مراجعة أداء الطاقم في السحب الجوي | C) تقييم قدرة الأنظمة على التفاعل مع المخاطر المتعددة | D) تقييم قدرة الهياكل على البقاء في حالة توازنها | E) تقييم كفاءة الأنظمة في الاستجابة للطوارئ | F) تقييم مدى قدرة الطائرات على التحليق لمسافات بعيدة,,
"Assess own ""outlook""",TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,"Assess own ""outlook""",يقيم التوقعات,1,"In the context of AFADI operations, does ""assess one's own outlook"" refer to evaluating personal motivation and morale in the face of operational challenges?","Assessing one's outlook in a military context, such as within AFADI, involves evaluating personal motivation, resilience, and mental state in response to operational demands. This is a key part of self-assessment in leadership and personnel performance.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""outlook""",TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,"Assess own ""outlook""",يقيم التوقعات,2,"Is ""outlook"" in the phrase ""assess own 'outlook'"" used to mean the ability to predict enemy movements accurately?","In the context of AFADI, ""outlook"" refers to a person's perception or attitude toward their role and mission, not the ability to predict enemy actions. Predicting enemy movements is part of situational awareness, not the definition of ""outlook.""",2.0,B,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""outlook""",TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,"Assess own ""outlook""",يقيم التوقعات,3,Does assessing one's outlook in a military environment include evaluating the effectiveness of communication within the unit?,"Assessing one's outlook primarily focuses on personal mindset, motivation, and perception of the mission, rather than directly evaluating communication effectiveness. Communication effectiveness is a separate performance metric.",2.0,B,1.0,True,False,,,,,A) True | B) False,,
يقيم الوعي الذاتي,TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,2.0,0.0,"Assess own ""self-awareness""",يقيم الوعي الذاتي,1,في سياق الدفاع الجوي، هل يُعتبر الوعي الذاتي جزءًا من مهارات الطواقم في التصرف الفوري أثناء الهجوم الجوي؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يقيم الوعي الذاتي,TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,2.0,0.0,"Assess own ""self-awareness""",يقيم الوعي الذاتي,2,هل يمكن اعتبار الوعي الذاتي عنصرًا حاسمًا في تقييم الأداء الفردي لطواقم الدفاع الجوي؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يقيم الوعي الذاتي,TRUE_FALSE,arabic,ANALYZE,ar,TRUE_FALSE,ANALYZE,2.0,0.0,"Assess own ""self-awareness""",يقيم الوعي الذاتي,3,هل يُمكن تقييم الوعي الذاتي لطواقم الدفاع الجوي من خلال قدرتهم على اتخاذ القرارات في الظروف الطارئة؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""sensitivity to context""",TRUE_FALSE_JUSTIFICATION,english,CREATE,en,TRUE_FALSE_JUSTIFICATION,CREATE,4.0,0.0,"Assess own ""sensitivity to context""",يقيم الحساسية تجاه السياق,1,"In a high-threat air defense scenario, an air defense operator must be able to interpret environmental conditions and adjust tactics accordingly. This reflects the importance of sensitivity to context in decision-making.","True. Sensitivity to context is crucial in air defense, as operators must adapt their tactics based on factors like weather, terrain, and enemy capabilities. This directly ties to the teaching point of assessing one's sensitivity to context.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""sensitivity to context""",TRUE_FALSE_JUSTIFICATION,english,CREATE,en,TRUE_FALSE_JUSTIFICATION,CREATE,4.0,0.0,"Assess own ""sensitivity to context""",يقيم الحساسية تجاه السياق,2,A pilot who ignores the presence of enemy radar systems and continues a mission without re-evaluating the threat level is demonstrating strong sensitivity to context.,False. Ignoring critical environmental and situational factors indicates a lack of sensitivity to context. True sensitivity involves recognizing and responding appropriately to contextual cues.,2.0,B,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""sensitivity to context""",TRUE_FALSE_JUSTIFICATION,english,CREATE,en,TRUE_FALSE_JUSTIFICATION,CREATE,4.0,0.0,"Assess own ""sensitivity to context""",يقيم الحساسية تجاه السياق,3,"During a joint exercise, an air defense officer who fails to consider the cultural and operational differences between allied forces may compromise mission effectiveness.",True. Sensitivity to context includes understanding not only the physical environment but also the operational and cultural dynamics among allied forces. This is essential for effective coordination and mission success.,2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""social intuition""",TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,4.0,0.0,"Assess own ""social intuition""",يقيم الحدس الاجتماعي,1,"In air defense operations, ""social intuition"" refers to the ability to interpret and respond to the emotional and social cues of fellow airmen during high-stress missions.",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""social intuition""",TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,4.0,0.0,"Assess own ""social intuition""",يقيم الحدس الاجتماعي,2,"The concept of ""social intuition"" is not a critical component of decision-making in air defense command centers.",,2.0,B,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""social intuition""",TRUE_FALSE,english,REMEMBER,en,TRUE_FALSE,REMEMBER,4.0,0.0,"Assess own ""social intuition""",يقيم الحدس الاجتماعي,3,"Assessing one's ""social intuition"" is part of the training provided to air defense personnel at AFADI to improve situational awareness.",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Assess own ""attention""",MULTI_SELECT,english,UNDERSTAND,en,MULTI_SELECT,UNDERSTAND,2.0,1.0,"Assess own ""attention""",يقيم تركيز الانتباه,1,"What is the primary purpose of ""attention"" in a military air defense scenario?",,4.0,B,1.0,To ensure physical fitness of personnel,To maintain situational awareness and readiness,To improve communication between units,To reduce the number of training exercises,,,A) To ensure physical fitness of personnel | B) To maintain situational awareness and readiness | C) To improve communication between units | D) To reduce the number of training exercises,,
"Assess own ""attention""",MULTI_SELECT,english,UNDERSTAND,en,MULTI_SELECT,UNDERSTAND,2.0,1.0,"Assess own ""attention""",يقيم تركيز الانتباه,2,"Which of the following best describes the role of ""attention"" in the context of air defense operations?",,4.0,B,1.0,The act of looking at the sky for enemy aircraft,The mental focus and alertness required to detect and respond to threats,A form of physical exercise for air defense personnel,A communication protocol between radar operators,,,A) The act of looking at the sky for enemy aircraft | B) The mental focus and alertness required to detect and respond to threats | C) A form of physical exercise for air defense personnel | D) A communication protocol between radar operators,,
"Assess own ""attention""",MULTI_SELECT,english,UNDERSTAND,en,MULTI_SELECT,UNDERSTAND,2.0,1.0,"Assess own ""attention""",يقيم تركيز الانتباه,3,"In the context of AFADI, why is maintaining ""attention"" critical during a live fire exercise?",,4.0,B,1.0,To ensure all personnel are wearing their uniforms,To ensure quick and accurate identification of threats,To reduce the number of required personnel,To make the exercise more visually impressive,,,A) To ensure all personnel are wearing their uniforms | B) To ensure quick and accurate identification of threats | C) To reduce the number of required personnel | D) To make the exercise more visually impressive,,
يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,TRUE_FALSE,arabic,APPLY,ar,TRUE_FALSE,APPLY,2.0,0.0,Manage own emotional styles profile within team relational processes,يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,1,في سياق خدمة الدفاع الجوي، هل من الممكن أن يُعتبر إدارة ملفات الأنماط العاطفية الخاصة بعمليات الفريق عنصرًا أساسيًا في تقييم الأداء الجماعي؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,TRUE_FALSE,arabic,APPLY,ar,TRUE_FALSE,APPLY,2.0,0.0,Manage own emotional styles profile within team relational processes,يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,2,هل يمكن اعتبار تطبيق سياسات تقييم العوامل العاطفية في العمليات الجوية من مسؤوليات ضابط التوجيه النفسي؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,TRUE_FALSE,arabic,APPLY,ar,TRUE_FALSE,APPLY,2.0,0.0,Manage own emotional styles profile within team relational processes,يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,3,هل تُعتبر متابعة تغيرات السلوك العاطفي للفريق أثناء العمليات الجوية من المهام الأساسية لقائد القسم؟,,2.0,A,1.0,True,False,,,,,A) True | B) False,,
